Tahun,Luas_PR,Luas_PBN,Luas_PBS,Luas_Total,Produksi_PR,Produksi_PBN,Produksi_PBS,Produksi_Total
1967,44088,58919,766,103773,249700,578800,5400,833900
1968,43760,58550,3153,105463,202800,525600,23700,752100
1969,48826,67300,6910,123036,205500,630000,72100,907600
1970,45067,69607,7041,121715,195846,602700,73900,872446
1971,48569,74811,13004,126384,218700,707586,122239,1048525
1972,71667,63807,13236,148710,213933,756195,130449,1100577
1973,69541,85492,14476,169509,203659,693089,18121,914869
1974,71962,90102,14711,176775,249647,857866,127213,1234726
1975,72964,89003,17861,179828,221226,877703,142727,1241656
1976,92040,95583,21279,208902,266728,899715,151931,1318374
1977,118453,99644,16395,234492,353385,923829,83159,1360373
1978,102213,121423,24465,248101,484914,940972,71082,1496968
1979,191859,126103,25534,343496,735894,369926,80570,1186390
1980,259874,37629,18560,316063,893120,273355,93475,1259950
1981,290470,36722,18996,346188,913677,200436,116007,1230120
1982,303228,43043,17049,363320,1373009,182041,71752,1626802
1983,315649,49152,19572,384373,1240500,290597,88441,1619538
1984,236810,85569,19629,342008,1397350,329713,83310,1810373
1985,225787,95079,19363,340229,1450184,343035,105590,1898809
1986,238509,69168,18026,325703,1567552,346130,100892,2014574
1987,241169,75926,17823,334918,1743677,322758,109439,2175874
1988,254669,92368,18492,365529,1575083,339541,89427,2004051
1989,249933,77378,30441,357752,1621468,305847,181033,2108348
1990,259877,71252,32839,363968,1609041,306263,204281,2119585
1991,255934,96625,33745,386304,1612240,450561,189866,2252667
1992,262092,105905,36065,404062,1652685,475804,177995,2306484
1993,280504,104460,40689,425653,1684614,393720,251477,2329811
1994,276581,107570,44585,428736,1673246,509047,271588,2453881
1995,263157,120162,52718,436037,1350476,422300,286800,2059576
1996,304047,79269,63217,446533,1512131,316660,265404,2094195
1997,218201,85086,83591,386878,1196409,365313,630264,2191986
1998,195048,83069,98972,377089,759094,305332,423843,1488269
1999,176733,82106,83372,342211,738893,284782,470258,1493933
2000,171279,64133,105248,340660,790573,234288,665143,1690004
2001,178887,87687,77867,344441,813538,310949,600980,1725467
2002,196509,79975,74238,350722,967160,297685,490509,1755354
2003,172015,87251,76459,335725,839028,370476,422414,1631918
2004,184283,78205,82305,344793,1028681,383892,639071,2051644
2005,211479,80383,89924,381786,1193653,423421,624668,2241742
2006,213876,87227,95338,396441,1028681,383892,639071,2051644
2007,259259,74185,107996,441440,1326937,356504,833933,2517374
2008,258001,76250,114494,448745,1382747,368009,943471,2694227
2009,259259,74185,107996,441440,1326937,356504,833933,2517374
2010,275908,68141,110062,454111,1295319,315174,679623,2290116
2011,278733,67020,106035,451788,1366294,295635,605958,2267887
2012,266379,77719,107157,451255,1543411,336288,711988,2591687
2013,291132,67434,110661,469227,1561047,294069,695911,2551026
2014,290967,77504,109638,478108,1516551,354733,707889,2579173
2015,267064,66715,120391,454171,1440260,339129,718609,2497997
2016,271564,52150,121360,445075,1286910,229374,688335,2204619
2017,247883,73015,109466,430363,1220780,268892,631999,2121671
2018,235925,69719,111932,417576,1254455,271291,648654,2174400
2019,253582,78686,120970,453238,1404099,339593,706308,2450000
